Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,itchy skin,rash,skin bumps,skin discoloration,,,,,,,,,,,,,
Fungal infection,rash,skin bumps,skin discoloration,,,,,,,,,,,,,,
Fungal infection,itchy skin,skin bumps,skin discoloration,,,,,,,,,,,,,,
Fungal infection,itchy skin,rash,skin discoloration,,,,,,,,,,,,,,
Fungal infection,itchy skin,rash,skin bumps,,,,,,,,,,,,,,
Fungal infection,rash,skin bumps,skin discoloration,,,,,,,,,,,,,,
Fungal infection,itchy skin,skin bumps,skin discoloration,,,,,,,,,,,,,,
Fungal infection,itchy skin,rash,skin discoloration,,,,,,,,,,,,,,
Fungal infection,itchy skin,rash,skin bumps,,,,,,,,,,,,,,
Fungal infection,itchy skin,rash,skin bumps,skin discoloration,,,,,,,,,,,,,
Allergy,sneezing,chills,cold chills,watery eyes,,,,,,,,,,,,,
Allergy,chills,cold chills,watery eyes,,,,,,,,,,,,,,
Allergy,sneezing,cold chills,watery eyes,,,,,,,,,,,,,,
Allergy,sneezing,chills,watery eyes,,,,,,,,,,,,,,
Allergy,sneezing,chills,cold chills,,,,,,,,,,,,,,
Allergy,chills,cold chills,watery eyes,,,,,,,,,,,,,,
Allergy,sneezing,cold chills,watery eyes,,,,,,,,,,,,,,
Allergy,sneezing,chills,watery eyes,,,,,,,,,,,,,,
Allergy,sneezing,chills,cold chills,,,,,,,,,,,,,,
Allergy,sneezing,chills,cold chills,watery eyes,,,,,,,,,,,,,
GERD,abdominal pain,acidity,tongue ulcers,nausea,coughing,chest discomfort,,,,,,,,,,,
GERD,abdominal pain,tongue ulcers,nausea,coughing,chest discomfort,,,,,,,,,,,,
GERD,abdominal pain,acidity,nausea,coughing,chest discomfort,,,,,,,,,,,,
GERD,abdominal pain,acidity,tongue ulcers,coughing,chest discomfort,,,,,,,,,,,,
GERD,abdominal pain,acidity,tongue ulcers,nausea,chest discomfort,,,,,,,,,,,,
GERD,abdominal pain,acidity,tongue ulcers,nausea,coughing,,,,,,,,,,,,
GERD,acidity,tongue ulcers,nausea,coughing,chest discomfort,,,,,,,,,,,,
GERD,abdominal pain,tongue ulcers,nausea,coughing,chest discomfort,,,,,,,,,,,,
GERD,abdominal pain,acidity,nausea,coughing,chest discomfort,,,,,,,,,,,,
GERD,abdominal pain,acidity,tongue ulcers,coughing,chest discomfort,,,,,,,,,,,,
Chronic cholestasis,itchy skin,nausea,yellow skin,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,,
Chronic cholestasis,nausea,yellow skin,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,itchy skin,yellow skin,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,itchy skin,nausea,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,itchy skin,nausea,yellow skin,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,itchy skin,nausea,yellow skin,nausea,stomach pain,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,itchy skin,nausea,yellow skin,nausea,reduced appetite,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,itchy skin,nausea,yellow skin,nausea,reduced appetite,stomach pain,,,,,,,,,,,
Chronic cholestasis,itchy skin,nausea,yellow skin,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,,
Chronic cholestasis,itchy skin,nausea,yellow skin,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,,
Drug Reaction,itchy skin,rash,abdominal pain,burning_micturition,spotting_ urination,,,,,,,,,,,,
Drug Reaction,itchy skin,abdominal pain,burning_micturition,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itchy skin,rash,burning_micturition,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itchy skin,rash,abdominal pain,spotting_ urination,,,,,,,,,,,,,
